game_id,team_home,team_away,goals_home,goals_away,OT,points_home,points_away,home_wins,season
/zapas/2526158,Buffalo Sabres,Vancouver Canucks,2,4,0,0.0,3.0,0.0,2017
/zapas/2526159,New Jersey Devils,San Jose Sharks,0,3,0,0.0,3.0,0.0,2017
/zapas/2526160,Florida Panthers,Pittsburgh Penguins,3,4,0,0.0,3.0,0.0,2017
/zapas/2526161,Detroit Red Wings,Washington Capitals,3,4,1,1.0,2.0,0.0,2017
/zapas/2526162,Winnipeg Jets,Minnesota Wild,4,3,0,3.0,0.0,1.0,2017
/zapas/2526163,Anaheim Ducks,Montreal Canadiens,6,2,0,3.0,0.0,1.0,2017
/zapas/2526164,New York Rangers,Nashville Predators,4,2,0,3.0,0.0,1.0,2017
/zapas/2526165,Philadelphia Flyers,Edmonton Oilers,2,1,0,3.0,0.0,1.0,2017
/zapas/2526166,Tampa Bay Lightning,Pittsburgh Penguins,7,1,0,3.0,0.0,1.0,2017
/zapas/2526167,Boston Bruins,Buffalo Sabres,4,5,1,1.0,2.0,0.0,2017
/zapas/2526168,Ottawa Senators,Toronto Maple Leafs,6,3,0,3.0,0.0,1.0,2017
/zapas/2526170,Columbus Blue Jackets,Los Angeles Kings,4,6,0,0.0,3.0,0.0,2017
/zapas/2526171,New York Islanders,San Jose Sharks,5,3,0,3.0,0.0,1.0,2017
/zapas/2526169,Washington Capitals,Florida Panthers,1,4,0,0.0,3.0,0.0,2017
/zapas/2526172,Dallas Stars,Carolina Hurricanes,4,3,0,3.0,0.0,1.0,2017
/zapas/2526173,Arizona Coyotes,Chicago Blackhawks,2,4,0,0.0,3.0,0.0,2017
/zapas/2526174,Calgary Flames,Minnesota Wild,2,4,0,0.0,3.0,0.0,2017
/zapas/2526175,Vegas Golden Knights,St. Louis Blues,3,2,1,2.0,1.0,1.0,2017
/zapas/2526176,Detroit Red Wings,Vancouver Canucks,1,4,0,0.0,3.0,0.0,2017
/zapas/2526177,Toronto Maple Leafs,Los Angeles Kings,3,2,0,3.0,0.0,1.0,2017
/zapas/2526178,New York Rangers,San Jose Sharks,1,4,0,0.0,3.0,0.0,2017
/zapas/2526179,Carolina Hurricanes,Tampa Bay Lightning,1,5,0,0.0,3.0,0.0,2017
/zapas/2526181,Pittsburgh Penguins,Edmonton Oilers,2,1,1,2.0,1.0,1.0,2017
/zapas/2526182,Philadelphia Flyers,Anaheim Ducks,2,6,0,0.0,3.0,0.0,2017
/zapas/2526183,New York Islanders,Arizona Coyotes,5,3,0,3.0,0.0,1.0,2017
/zapas/2526180,Buffalo Sabres,Detroit Red Wings,1,0,0,3.0,0.0,1.0,2017
/zapas/2526184,Montreal Canadiens,Florida Panthers,5,1,0,3.0,0.0,1.0,2017
/zapas/2526185,Ottawa Senators,Los Angeles Kings,2,3,1,1.0,2.0,0.0,2017
/zapas/2526186,Nashville Predators,Calgary Flames,2,3,1,1.0,2.0,0.0,2017
/zapas/2526187,Minnesota Wild,Vancouver Canucks,0,1,0,0.0,3.0,0.0,2017
/zapas/2526188,Colorado Avalanche,Dallas Stars,5,3,0,3.0,0.0,1.0,2017
/zapas/2526189,Vegas Golden Knights,Chicago Blackhawks,4,2,0,3.0,0.0,1.0,2017
/zapas/2526190,St. Louis Blues,Calgary Flames,5,2,0,3.0,0.0,1.0,2017
/zapas/2526191,Columbus Blue Jackets,Buffalo Sabres,5,1,0,3.0,0.0,1.0,2017
/zapas/2526192,Toronto Maple Leafs,Carolina Hurricanes,3,6,0,0.0,3.0,0.0,2017
